AccessPoint{x:3.5, y:7.5, rssi:-91.0, distance:6.912, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-98.0, distance:2.0019, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-82.0, distance:4.9072, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-98.0, distance:12.1531, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-89.0, distance:1.0108, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-84.0, distance:3.7802, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-82.0, distance:4.9072, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:6.3566, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:1.4823, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:9.5865, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-82.0, distance:4.9072, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-82.0, distance:4.9072, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:8.8442, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:1.2728, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-84.0, distance:3.7802, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:1.2728, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:1.2728, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:1.3738, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-97.0, distance:11.2375, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:1.3738, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-97.0, distance:11.2375, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:1.4823, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-97.0, distance:11.2375, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-91.0, distance:6.912, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-91.0, distance:1.1789, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-98.0, distance:12.1531, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-91.0, distance:6.912, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:1.3738, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:11.757, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:11.757, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-98.0, distance:12.1531, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:9.9417, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-96.0, distance:1.724, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-83.0, distance:5.3771, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-96.0, distance:10.3832, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:9.9417, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-96.0, distance:1.724, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-91.0, distance:10.8159, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:1.4823, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-91.0, distance:10.8159, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:8.8442, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:15.0256, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:8.8442, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:15.0256, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:13.8572, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-93.0, distance:8.153, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:13.8572, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:8.8442, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:8.8442, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:1.0917, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:11.757, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:8.8442, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:1.0917, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-86.0, distance:7.0352, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-92.0, distance:7.5099, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:9.5865, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-88.0, distance:5.3631, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-86.0, distance:0.7097, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-96.0, distance:10.3832, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-88.0, distance:5.3631, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-94.0, distance:1.4823, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-97.0, distance:11.2375, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:6.3566, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-85.0, distance:6.4381, fromBeaconSN:'0117C596DBEE'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:9.5865, fromBeaconSN:'0117C533BAC6'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:6.3566, fromBeaconSN:'0117C5314649'}
AccessPoint{x:3.5, y:7.5, rssi:-95.0, distance:1.5989, fromBeaconSN:'0117C5310411'}
AccessPoint{x:3.5, y:7.5, rssi:-90.0, distance:9.9417, fromBeaconSN:'0117C596DBEE'}
